MAG,time,reg,genes,total_genes,rel_genes,taxonomy,phylum,family,timef,maxtime,response_type
12C16O_0h_100_P08_coass_bin.13,0,none,179,179,1,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,0,48,mid
12C16O_0h_100_P08_coass_bin.13,168,none,92,132,0.696969696969697,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,168,48,mid
12C16O_0h_100_P08_coass_bin.13,168,up,40,132,0.30303030303030304,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,168,48,mid
12C16O_0h_100_P08_coass_bin.13,24,none,51,64,0.796875,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,24,48,mid
12C16O_0h_100_P08_coass_bin.13,24,up,13,64,0.203125,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,24,48,mid
12C16O_0h_100_P08_coass_bin.13,3,none,99,128,0.7734375,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,3,48,mid
12C16O_0h_100_P08_coass_bin.13,3,up,29,128,0.2265625,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,3,48,mid
12C16O_0h_100_P08_coass_bin.13,48,none,53,84,0.6309523809523809,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,48,48,mid
12C16O_0h_100_P08_coass_bin.13,48,up,31,84,0.36904761904761907,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,48,48,mid
12C16O_0h_100_P08_coass_bin.13,72,none,63,84,0.75,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,p__Acidobacteriota,f__UBA5704,72,48,mid
