"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"1","12C16O_0h_100_P08_coass_bin.13",0,0.303030303030303,0.203125,0.2265625,0.369047619047619,0.25,"48","Middle Responders"
"2","12C16O_0h_100_P08_coass_bin.5",0,0.214285714285714,0.24,0.392857142857143,0.25,0.321428571428571,"3","Early Responders"
"3","12C16O_0h_100_P16_coass_bin.1",0,0.157894736842105,0.181818181818182,0.263157894736842,0.333333333333333,0.346153846153846,"72","Middle Responders"
"4","12C16O_0h_50_P09_coass_bin.13",0,0.181159420289855,0.340659340659341,0.234375,0.399127589967285,0.347402597402597,"48","Middle Responders"
"5","12C16O_0h_50_P10_coass_bin.14",0,0.346590909090909,0.0714285714285714,-0.122093023255814,0.188811188811189,0.222222222222222,"168","Late Responders"
"6","12C16O_0h_50_P10_coass_bin.29",0,0.219512195121951,0.3125,0.625,0.236842105263158,0.263157894736842,"3","Early Responders"
"7","12C16O_0h_50_P10_coass_bin.6",0,0.24390243902439,-0.133333333333333,-0.25,-0.0645161290322581,0,"168","Late Responders"
"8","12C16O_0h_50_P13_coass_bin.10",0,0,0.0833333333333333,-0.03125,0.08,0,"24","Middle Responders"
"9","12C16O_0h_50_P13_coass_bin.12",0,0.434426229508197,0.111111111111111,-0.0166666666666667,0.266666666666667,0.445652173913043,"72","Middle Responders"
"10","12C16O_0h_50_P13_coass_bin.4",0,0.181818181818182,0.45,0.40625,0.227272727272727,0.272727272727273,"24","Middle Responders"
"11","12C16O_0h_50_unf_bin.17",0,0.241379310344828,0.0909090909090909,-0.0714285714285714,0.166666666666667,0.166666666666667,"168","Late Responders"
"12","12C16O_0h_50_unf_bin.25",0,0.434782608695652,0.125,0,0.421052631578947,0.136363636363636,"168","Late Responders"
"13","12C16O_0h_50_unf_bin.34",0,0.34375,0.352941176470588,0.15625,0.55,0.5,"48","Middle Responders"
"14","12C16O_168h_100_P08_coass_bin.1",0,0.0769230769230769,0.214285714285714,0.208333333333333,0.352941176470588,0.333333333333333,"48","Middle Responders"
"15","12C16O_168h_100_P08_coass_bin.11",0,0.282608695652174,0.433333333333333,0.181818181818182,0.558823529411765,0.361111111111111,"48","Middle Responders"
"16","12C16O_168h_100_P08_coass_bin.27",0,0.0869565217391304,0.205882352941176,0.217391304347826,0.222222222222222,0.277777777777778,"72","Middle Responders"
"17","12C16O_168h_100_P08_coass_bin.31",0,0.433673469387755,0.394495412844037,0.147368421052632,0.586466165413534,0.621428571428571,"72","Middle Responders"
"18","12C16O_168h_100_P14_coass_bin.3",0,0.05,0.285714285714286,0.105263157894737,0.0769230769230769,0.115384615384615,"24","Middle Responders"
"19","12C16O_168h_100_P14_coass_bin.7",0,0.015625,-0.048780487804878,-0.03125,0,0.02,"72","Middle Responders"
"20","12C16O_168h_100_P16_coass_bin.10",0,0.181818181818182,0,0.2,0.133333333333333,0.0714285714285714,"3","Early Responders"
"21","12C16O_168h_100_P16_coass_bin.18",0,0.0886075949367089,0.207547169811321,0.5,0.189655172413793,0.214285714285714,"3","Early Responders"
