BinId	Markerlineage	genomes	markers	marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
12C16O_0h_100_P08_coass_bin.1.fa	p__Proteobacteria (UID3880)	1495	261	164	5	255	1	0	0	0	97.53	0.30	0.00
12C16O_0h_100_P08_coass_bin.10.fa	k__Bacteria (UID1453)	901	171	117	49	115	7	0	0	0	81.20	5.30	0.00
12C16O_0h_100_P08_coass_bin.11.fa	p__Actinobacteria (UID1454)	732	199	116	47	140	12	0	0	0	84.99	7.57	8.33
12C16O_0h_100_P08_coass_bin.12.fa	k__Bacteria (UID203)	5449	104	58	60	43	1	0	0	0	60.14	1.72	0.00
12C16O_0h_100_P08_coass_bin.13.fa	k__Bacteria (UID3187)	2258	188	117	66	107	14	1	0	0	81.80	8.76	11.76
12C16O_0h_100_P08_coass_bin.14.fa	k__Bacteria (UID203)	5449	104	58	63	40	1	0	0	0	54.83	0.34	0.00
12C16O_0h_100_P08_coass_bin.15.fa	c__Betaproteobacteria (UID3959)	235	419	211	166	241	12	0	0	0	59.65	3.16	0.00
12C16O_0h_100_P08_coass_bin.16.fa	k__Bacteria (UID203)	5449	104	58	66	37	1	0	0	0	56.90	0.86	100.00
12C16O_0h_100_P08_coass_bin.17.fa	p__Actinobacteria (UID1454)	732	196	114	83	99	12	2	0	0	53.22	4.61	22.22
12C16O_0h_100_P08_coass_bin.18.fa	k__Bacteria (UID203)	5449	104	58	51	48	5	0	0	0	78.45	6.90	0.00
12C16O_0h_100_P08_coass_bin.19.fa	p__Actinobacteria (UID1454)	732	199	116	75	101	22	1	0	0	62.56	9.89	16.00
12C16O_0h_100_P08_coass_bin.2.fa	k__Bacteria (UID1452)	924	161	108	50	109	2	0	0	0	74.10	1.39	50.00
12C16O_0h_100_P08_coass_bin.20.fa	k__Archaea (UID2)	207	145	103	7	130	8	0	0	0	94.66	4.11	50.00
12C16O_0h_100_P08_coass_bin.21.fa	k__Archaea (UID2)	207	145	103	9	134	1	1	0	0	93.45	2.91	0.00
12C16O_0h_100_P08_coass_bin.22.fa	k__Bacteria (UID203)	5449	102	57	65	36	1	0	0	0	57.89	1.75	0.00
