X,MAG,time_0,time_168,time_24,time_3,time_48,time_72,max_time,strategy_broad,ENC,riboENC,deltaENC,ribo_cts,gc,bp,all_A,all_C,all_G,all_T,taxonomy,domain,phylum,family,ribo_A_mean,ribo_C_mean,ribo_G_mean,ribo_T_mean,ribo_gene_length,ribo_GC,ribo_GC_skew,ribo_AT_skew,ribo_aa_cn,ribo_AA_mean_cost,degen_GC,degen_GCskew,degen_ATskew,nsA,nsC,nsG,nsT,nstotal,nsGC,nsGC_skew,nsAT_skew
1,12C16O_0h_100_P08_coass_bin.13,0,0.303030303030303,0.203125,0.2265625,0.369047619047619,0.25,48,Middle Responders,46.58101015795828,46.65372882309892,-0.0015611225453042337,31,69.60178693793956,5738084,873480,1999273,1994536,870795,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__,d__Bacteria,p__Acidobacteriota,f__UBA5704,0.20098378295288602,0.32741526400737836,0.3365613711474905,0.13503958189224502,419.7096774193548,0.6639766351548688,0.013774742447042403,0.19624885635864592,3.220559034672369,22.706849315068492,0.920785375761679,-0.316176470588235,-0.333333333333333,0.238744075829384,0.222600710900474,0.320201421800948,0.218453791469194,6752,0.542802132701422,0.179809004092769,0.0443796566245546
2,12C16O_0h_100_P08_coass_bin.5,0,0.214285714285714,0.24,0.392857142857143,0.25,0.321428571428571,3,Early Responders,45.20713087196138,41.2413155011222,0.08772543831793775,40,69.31936478827181,4602245,706348,1596689,1593558,705650,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.19093905368415173,0.3451203843360706,0.33148986090162563,0.13245070107815204,447.525,0.6766102452376963,-0.02014531043593128,0.180860252202453,3.261093321134492,22.332506747638327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,12C16O_0h_100_P16_coass_bin.1,0,0.157894736842105,0.181818181818182,0.263157894736842,0.333333333333333,0.346153846153846,72,Middle Responders,45.66059559642383,41.33777125296721,0.09467297320570175,59,69.02559939013668,5084418,787822,1756893,1752657,787046,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.19067248625929517,0.3437196896217265,0.33381829938570967,0.13178952473326866,419.3898305084746,0.6775379890074362,-0.014613778705636763,0.1826043363830054,3.2219124159422665,22.25904041020632,0.941471048513302,-0.253989361702128,-0.262032085561497,0.224366972477064,0.249467889908257,0.31948623853211,0.206678899082569,13625,0.568954128440367,0.123065015479876,0.0410352460412055
4,12C16O_0h_50_P09_coass_bin.13,0,0.181159420289855,0.340659340659341,0.234375,0.399127589967285,0.347402597402597,48,Middle Responders,49.67411203211944,44.94523869842288,0.095197943964028,18,68.49506652280833,4855703,767283,1664498,1661419,762503,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__,d__Bacteria,p__Actinobacteriota,f__Nocardioidaceae,0.1979719942056977,0.3417028810558506,0.32448092708836307,0.13584419765008848,345.1666666666667,0.6661838081442139,-0.02585165498912784,0.18611378977820645,3.2883125631525765,21.88035019455253,0.852731591448931,-0.247910863509749,-0.32258064516129,0.237272727272727,0.255454545454545,0.305454545454545,0.201818181818182,3300,0.560909090909091,0.0891410048622367,0.0807453416149068
5,12C16O_0h_50_P10_coass_bin.14,0,0.346590909090909,0.0714285714285714,-0.122093023255814,0.188811188811189,0.222222222222222,168,Late Responders,56.5286906208561,55.23644701569884,0.02285995997721714,34,43.90322988636871,1612936,452106,353731,354400,452699,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__,d__Archaea,p__Thermoproteota,f__Nitrososphaeraceae,0.32081824534654724,0.20284607077059905,0.2656756241661902,0.2106600597166635,462.97058823529414,0.4685216949367893,0.13410169491525434,0.20726751135548652,3.3792460370321034,22.893210586881473,0.409631728045326,-0.258644536652835,0.0767754318618042,0.293687315634218,0.189026548672566,0.290265486725664,0.227020648967552,8475,0.47929203539823,0.21122599704579,0.128030818037616
6,12C16O_0h_50_P10_coass_bin.29,0,0.219512195121951,0.3125,0.625,0.236842105263158,0.263157894736842,3,Early Responders,48.936780279233176,42.099649320968055,0.13971354304987912,39,63.51908229306164,3947927,722705,1252718,1254969,717535,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.2041263700838169,0.32269503546099293,0.3107027724049001,0.1624758220502901,397.6923076923077,0.6333978078658931,-0.01893322475570034,0.11361238128737262,3.2477495107632093,22.51907638347623,0.810326659641728,-0.331599479843953,-0.688888888888889,0.234816384180791,0.241172316384181,0.307909604519774,0.216101694915254,8496,0.549081920903955,0.121543408360129,0.0415035238841033
7,12C16O_0h_50_P10_coass_bin.6,0,0.24390243902439,-0.133333333333333,-0.25,-0.0645161290322581,0,168,Late Responders,53.07385155004324,49.4029229490772,0.06916642553263223,49,64.11540929048297,3591288,645798,1152018,1150551,642921,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__,d__Bacteria,p__Gemmatimonadota,f__GWC2,0.21073034579004496,0.3026825864475112,0.33705484054375356,0.14953222721869022,394.83673469387753,0.6397374269912648,0.05372869031267678,0.16987087517934005,3.1929715762273903,22.4809464313603,0.816815597075548,-0.189457981103928,-0.0332594235033259,0.239331194711772,0.223388743073782,0.330805871488286,0.206474190726159,10287,0.554194614562069,0.19382564462375,0.0737025730484082
8,12C16O_0h_50_P13_coass_bin.10,0,0,0.0833333333333333,-0.03125,0.08,0,24,Middle Responders,44.55380134496794,44.21766697971432,0.007544459846445352,33,74.09348264458896,4054528,525876,1505689,1498452,524511,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__,d__Bacteria,p__Actinobacteriota,f__,0.1741862174988303,0.3692266559721944,0.34342624156139295,0.11316088496758235,453.3636363636364,0.7126528975335874,-0.03620333896079538,0.21237497092347069,3.206750478272752,21.582983447719016,0.96061814556331,-0.467566165023352,-0.0379746835443038,0.19898556379243099,0.257510729613734,0.340486409155937,0.203017297437898,7689,0.597997138769671,0.138755980861244,-0.0100291167906826
9,12C16O_0h_50_P13_coass_bin.12,0,0.434426229508197,0.111111111111111,-0.0166666666666667,0.266666666666667,0.445652173913043,72,Middle Responders,46.042757724620486,44.753999455413066,0.02799046653363861,30,67.24344451317403,4298651,707414,1444611,1445950,700676,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__,d__Bacteria,p__Proteobacteria,f__SG8,0.2141362252663622,0.3104071537290715,0.3351407914764079,0.14031582952815827,350.4,0.6455479452054795,0.038314176245210746,0.20826623725174445,3.2692752505782576,22.865880322209428,0.89193302891933,-0.107508532423208,-0.169014084507042,0.250699300699301,0.222727272727273,0.315034965034965,0.211538461538462,5720,0.537762237762238,0.171651495448635,0.0847201210287443
10,12C16O_0h_50_P13_coass_bin.4,0,0.181818181818182,0.45,0.40625,0.227272727272727,0.272727272727273,24,Middle Responders,48.59006724473247,42.38903211512651,0.1276193979805244,25,63.85685869940908,3234622,585677,1034284,1031244,583417,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.20235096557514692,0.32894859595111486,0.3079578318873029,0.16074260658643527,428.76,0.6369064278384178,-0.03295737512816761,0.11459403905447077,3.3068181818181817,22.39915445321308,0.813777441332324,-0.358139534883721,-0.609756097560976,0.230611196712892,0.248758774182503,0.304057524396507,0.216572504708098,5841,0.55281629857901,0.100030969340353,0.031393568147013703
11,12C16O_0h_50_unf_bin.17,0,0.241379310344828,0.0909090909090909,-0.0714285714285714,0.166666666666667,0.166666666666667,168,Late Responders,54.13579927681395,47.57789240207634,0.12113808168241684,43,63.86977326800983,2436489,440926,777793,778387,439383,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__,d__Bacteria,p__Actinobacteriota,f__,0.21031421880956272,0.3223329521320046,0.31590698687578284,0.15144584218264986,427.04651162790697,0.6382399390077874,-0.010068259385665518,0.16272768327562862,3.241390914189568,21.92702747162362,0.737253289473684,-0.310652537646403,-0.170579029733959,0.22423256759504,0.249745883309616,0.323033136816426,0.202988412278918,9838,0.572779020126042,0.127950310559006,0.0497263859148228
12,12C16O_0h_50_unf_bin.25,0,0.434782608695652,0.125,0,0.421052631578947,0.136363636363636,168,Late Responders,46.03152259678416,45.025715757402615,0.02185039257102065,33,69.12789641751671,2307031,356044,796037,798765,356185,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.19261337073398785,0.33079543177719894,0.34755893942429705,0.12903225806451613,453.72727272727275,0.678354371201496,0.024712021266121886,0.19767441860465118,3.2516474464579903,21.880475998386448,0.900204708290686,-0.101762364980102,-0.0153846153846154,0.212725425450851,0.258318516637033,0.322199644399289,0.206756413512827,7874,0.580518161036322,0.11004156639685,0.0142294883439298
13,12C16O_0h_50_unf_bin.34,0,0.34375,0.352941176470588,0.15625,0.55,0.5,48,Middle Responders,46.38594575167973,44.3518164504756,0.0438522761203045,33,68.83229606827148,2510448,390363,864361,863638,392086,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.18935165306998708,0.3326892800915987,0.34456848432803777,0.1333905825103764,423.45454545454544,0.6772577644196365,0.01754015215553672,0.17339246119733925,3.2501089957854963,22.311216771125995,0.904491188175099,-0.0647391577624136,-0.0833333333333333,0.20840108401084,0.255962059620596,0.3210027100271,0.214634146341463,7380,0.576964769647696,0.112728980742132,-0.0147341447789878
14,12C16O_168h_100_P08_coass_bin.1,0,0.0769230769230769,0.214285714285714,0.208333333333333,0.352941176470588,0.333333333333333,48,Middle Responders,45.31885989022705,41.52439478467567,0.08372816780348113,61,69.27855713536772,4740015,730839,1640308,1643506,725362,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.19142560792900773,0.3422457838730744,0.3342168952402904,0.13211171295762741,426.73770491803276,0.6764626791133648,-0.011868930660457744,0.18332937544526257,3.2373027035474293,22.332838245532606,0.945328927605888,-0.259612329202415,-0.241758241758242,0.227962250961202,0.246347430968193,0.316812303390423,0.208878014680182,14305,0.563159734358616,0.125124131082423,0.043686989918387
15,12C16O_168h_100_P08_coass_bin.11,0,0.282608695652174,0.433333333333333,0.181818181818182,0.558823529411765,0.361111111111111,48,Middle Responders,45.01017454417301,44.88803471935567,0.002713604780569728,46,69.68500890023992,3475749,526304,1212133,1209943,527369,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.19258304696449027,0.3328560519282169,0.35061092019854906,0.12394998090874378,455.4782608695652,0.683466972126766,0.025977653631284906,0.21682750301568163,3.2512508584322575,21.772885751332662,0.893013100436681,-0.0187449062754686,-0.0340136054421769,0.211740041928721,0.27326588278188,0.31555920153131,0.19943487375809,10971,0.588825084313189,0.0718266253869969,0.0299268454888051
16,12C16O_168h_100_P08_coass_bin.27,0,0.0869565217391304,0.205882352941176,0.217391304347826,0.222222222222222,0.277777777777778,72,Middle Responders,45.567538227257096,44.71365394544146,0.01873887234278702,47,70.6891340403573,2729469,401207,963789,965649,398824,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.18381706244503077,0.33356478266907374,0.3601814562792205,0.12243669860667498,459.63829787234044,0.6937462389482942,0.03836658437312338,0.20042321644498187,3.251543063336815,21.788749126484976,0.914285714285714,-0.0875,-0.1,0.198960852817343,0.265251276538565,0.32975006718624,0.206037803457852,11163,0.595001343724805,0.10840108401084,-0.0174740101747401
17,12C16O_168h_100_P08_coass_bin.31,0,0.433673469387755,0.394495412844037,0.147368421052632,0.586466165413534,0.621428571428571,72,Middle Responders,44.9288169267997,42.77063435322626,0.04803559766752064,58,72.62473934442646,6081301,834194,2210187,2206342,830578,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__Longimicrobiaceae;g__;s__,d__Bacteria,p__Gemmatimonadota,f__Longimicrobiaceae,0.18235021683297545,0.3392278219864427,0.3645320197044335,0.11388994147614835,409.5,0.7037598416908761,0.035955728387675724,0.23109721432632183,3.169160921473011,22.28410941475827,0.963329081632653,-0.105594174114532,-0.0782608695652174,0.220053308247099,0.239181561618062,0.344543744120414,0.196221386014425,12756,0.583725305738476,0.180499597099114,0.0572504708097928
18,12C16O_168h_100_P14_coass_bin.3,0,0.05,0.285714285714286,0.105263157894737,0.0769230769230769,0.115384615384615,24,Middle Responders,45.76123563731317,45.38095747751717,0.008310050078410295,19,70.75439846427552,2902604,426136,1028099,1025621,422748,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.18393139246219814,0.33434890543895285,0.35770706386820134,0.1240126382306477,466.42105263157896,0.6920559693071542,0.03375183433882278,0.19457676804690363,3.2772391505078486,21.905247018739352,0.91869918699187,-0.0776794493608653,-0.0888888888888889,0.195450530035336,0.276722614840989,0.318904593639576,0.208922261484099,4528,0.595627208480565,0.0708194289951798,-0.0333151283451666
19,12C16O_168h_100_P14_coass_bin.7,0,0.015625,-0.048780487804878,-0.03125,0,0.02,72,Middle Responders,45.329768536015735,43.7278433401948,0.03533936412113303,40,73.23342630584114,4858784,650620,1780332,1777922,649910,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__,d__Bacteria,p__Actinobacteriota,f__,0.17538696315674732,0.36216481360366254,0.3471223021582734,0.11532592108131674,458.7,0.7092871157619359,-0.02120792992162288,0.20659917510311215,3.182218794755977,21.769491525423724,0.955242436800663,-0.458568329718004,0,0.201736736206714,0.245684634120513,0.345652864555756,0.206925765117018,9443,0.591337498676268,0.169054441260745,-0.0126975900492355
20,12C16O_168h_100_P16_coass_bin.10,0,0.181818181818182,0,0.2,0.133333333333333,0.0714285714285714,3,Early Responders,45.38331448657856,41.06212872040584,0.09521529696670006,54,69.12765790721927,4798324,740959,1659921,1657048,740396,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.19131626652518016,0.34398903479683424,0.3334659769200159,0.13122872175796965,418.8333333333333,0.6774550117168502,-0.015533220206239425,0.18629198080877316,3.226083840917234,22.35205717339033,0.942916811695092,-0.271317829457364,-0.207317073170732,0.225894652191395,0.248250904704463,0.318455971049457,0.207398472054684,12435,0.56670687575392,0.123882503192848,0.0426874536005939
21,12C16O_168h_100_P16_coass_bin.18,0,0.0886075949367089,0.207547169811321,0.5,0.189655172413793,0.214285714285714,3,Early Responders,48.98723967346832,42.40468622193876,0.13437281821565258,51,63.54411410708898,3834363,699008,1216946,1219566,698843,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.20560193421832945,0.3195565895716436,0.31385429496829526,0.16098718124173167,429.8235294117647,0.6334108845399389,-0.009002520705797592,0.12170233947237431,3.2650972364380757,22.506738321620503,0.822181146025878,-0.29226618705036,-0.592515592515592,0.238043659390102,0.234877520413264,0.308948508581903,0.218130311614731,12002,0.543826028995168,0.136203462540218,0.0436529680365297
22,12C16O_168h_100_P16_coass_bin.28,0,0.219512195121951,0.146341463414634,0.0625,0.34,0.326923076923077,48,Middle Responders,46.16475370781244,44.43981333459789,0.03736487763223208,23,64.6940754417826,5144046,911533,1670787,1657106,904620,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__,d__Bacteria,p__Acidobacteriota,f__Gp7,0.21871713985278654,0.31440588853838064,0.31411910907179047,0.15275786253704232,454.82608695652175,0.6285249976101711,-4.5627376425852017e-4,0.17756047349459605,3.300136425648022,22.73300634737449,0.842414082145851,-0.205970149253731,-0.117021276595745,0.247724433339283,0.237551311797251,0.294842048902374,0.219882205961092,5603,0.532393360699625,0.107609788803218,0.0595419847328245
23,12C16O_168h_100_unf_bin.12,0,0.134328358208955,0.0869565217391304,0,0.105263157894737,0.189655172413793,72,Middle Responders,51.14066030787672,47.638577776562045,0.06847941560064834,40,63.07353396507872,3404114,628145,1073126,1073969,628874,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__2-12-FULL-66-21;s__,d__Bacteria,p__Acidobacteriota,f__2,0.21962751542409042,0.2907801418439716,0.33465951680793404,0.1549328259240039,433.575,0.62543965865190565,0.0701576472757445,0.1727216748768474,3.2469164533395394,22.663584117032393,0.832935560859189,-0.039541547277937,0.0742857142857143,0.240569088165553,0.216641517568441,0.323022203061005,0.219767191205001,9278,0.539663720629446,0.197124026363092,0.0451884804495434
24,12C16O_168h_100_unf_bin.19,0,0.17948717948718,0.416666666666667,0.0789473684210526,0.290322580645161,0.25,24,Middle Responders,45.76702732929456,44.420229643672506,0.029427248484631036,49,70.60202660143446,2783083,407526,984453,980460,410644,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.1855865380379719,0.3345667591736047,0.36143782212237346,0.11840888066604996,463.2857142857143,0.6960045812959781,0.03860759493670888,0.22098246630923052,3.2437923250564333,21.714137518287007,0.91920216362407,-0.0805443177638838,-0.121338912133891,0.201495073054706,0.269622833843017,0.329255861365953,0.199626231736323,11772,0.59887869520897,0.0995744680851064,0.00465904277848364
25,12C16O_168h_100_unf_bin.21,0,0.282051282051282,0.454545454545455,0.289473684210526,0.366666666666667,0.3,24,Middle Responders,45.522773847853394,41.02148243512757,0.09887998977764569,52,69.0935321485519,4761272,736649,1645762,1643969,734892,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.19327580007191653,0.34254764473211075,0.3326591154261057,0.13151743976986693,427.84615384615387,0.6752067601582165,-0.014645187058980162,0.19014669249930802,3.2238616819045895,22.49218028780885,0.944025834230355,-0.264918282022045,-0.205128205128205,0.230492098583477,0.244984852206665,0.315811021043151,0.208712028166708,12213,0.560795873249816,0.126295809607242,0.0495898583146905
26,12C16O_168h_100_unf_bin.9,0,0.132075471698113,0.261904761904762,0.62,0.239130434782609,0.295454545454545,3,Early Responders,48.788850030161925,42.44894433706873,0.1299457906708967,45,63.70335801947009,3839942,698465,1222189,1223983,695305,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.20562736853034314,0.317292218242226,0.3122047448476354,0.16487566837979548,428.06666666666666,0.6294969630898614,-0.008081807685963926,0.109990191957405,3.293698105173515,22.482492163009407,0.810175288584865,-0.34353562005277,-0.653153153153153,0.237392959086584,0.234157944814462,0.307136060894386,0.221313035204567,10510,0.541294005708849,0.134821585515908,0.035054967848994
27,12C16O_168h_50_P09_coass_bin.21,0,0.185185185185185,0.363636363636364,0.461538461538462,0.318181818181818,0.318181818181818,3,Early Responders,45.515266922495584,41.16463680549664,0.09558617165548634,59,69.1082530897893,5076317,783856,1753307,1754847,784307,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__,d__Bacteria,p__Proteobacteria,f__Beijerinckiaceae,0.1895325203252032,0.34373045653533457,0.3350531582238899,0.1316838649155722,433.6271186440678,0.6787836147592246,-0.012783600138201075,0.1800924799221221,3.229107086113759,22.296706798866857,0.944225522885723,-0.253932584269663,-0.25,0.224299729845016,0.249893359874876,0.318711787288497,0.207095122991611,14066,0.568605147163373,0.121030257564391,0.0398813447593935
28,12C16O_168h_50_P09_coass_bin.26,0,0.166666666666667,0.416666666666667,0.333333333333333,0.407407407407407,0.461538461538462,72,Middle Responders,44.089877253342806,43.3605736642499,0.01654129325201542,29,74.06458380544228,4293677,559908,1589795,1590299,553675,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__,d__Bacteria,p__Myxococcota,f__Anaeromyxobacteraceae,0.18838570548367217,0.3391096734442391,0.3478897104128158,0.12461491065927294,447.7241379310345,0.686999383857055,0.012780269058295962,0.2037401574803149,3.233374960974087,22.410162790697676,0.956235011990408,-0.13730407523511,-0.424657534246575,0.230897703549061,0.246903270702853,0.318162839248434,0.204036186499652,7185,0.565066109951287,0.126108374384236,0.06176
29,12C16O_168h_50_P09_coass_bin.27,0,0.147058823529412,0.481481481481481,0.0882352941176471,0.433333333333333,0.366666666666667,24,Middle Responders,45.304494188071736,44.085782717197645,0.026900454198095128,35,69.60706481090725,3350578,510230,1165677,1166562,508109,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__UBA5186;s__,d__Bacteria,p__Actinobacteriota,f__Gaiellaceae,0.18909949581977153,0.3346097389750462,0.3509477311889719,0.12534303401621033,447.6857142857143,0.6855574701640181,0.02383168869856651,0.2027603003856303,3.2702127659574467,21.496319136635194,0.882922109337204,-0.0345205479452055,0.0247933884297521,0.200923226433431,0.27891156462585,0.318756073858115,0.201409135082604,8232,0.597667638483965,0.0666666666666667,-0.00120772946859901
30,12C16O_168h_50_P10_coass_bin.11,0,0.0909090909090909,0.1875,0.318181818181818,0.117647058823529,0.0625,3,Early Responders,46.96723328094883,44.1452909732381,0.06008321356360138,35,69.82446695554489,3150347,474180,1100699,1099014,476454,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__DSTP01;s__,d__Bacteria,p__Gemmatimonadota,f__GWC2,0.19459378733572283,0.33505077658303467,0.3395310633213859,0.13082437275985662,382.62857142857143,0.6745818399044206,0.006641576267434077,0.1959614502065168,3.2148949131891564,22.131302189122092,0.924693520140105,-0.141414141414141,-0.255813953488372,0.23901247965274,0.244574064026044,0.315925122083559,0.200488334237656,7372,0.560499186109604,0.12729912875121,0.0876543209876543
